Time(s),Ventricular,Atrial
0.01779007911682129,62752,62751
0.027951478958129883,62751,16351
0.035050153732299805,61024,61023
0.04512929916381836,61023,16351
0.053289175033569336,63008,63007
0.06236839294433594,63007,16351
0.07783341407775879,61216,61215
0.09396004676818848,61215,16351
0.11098718643188477,63200,63199
0.12119269371032715,63199,16351
0.13162636756896973,61664,61663
0.14251208305358887,61663,16351
0.1528480052947998,62048,62047
0.16321182250976562,62047,16351
0.17334294319152832,61408,61407
0.1885242462158203,61407,16351
0.20931148529052734,61920,61919
0.22197413444519043,61919,16351
0.23232197761535645,60960,60959
0.2424607276916504,60959,16351
0.2530786991119385,61088,61087
0.26312899589538574,61087,16351
0.27318835258483887,60000,59999
0.28353309631347656,59999,16351
0.29363036155700684,63136,63135
0.30422234535217285,63135,16351
0.3143339157104492,60704,60703
0.324831485748291,60703,16351
0.3351004123687744,62496,62495
0.34552979469299316,62495,16351
0.35675668716430664,61152,61151
0.36631345748901367,61151,16351
0.37677764892578125,63136,63135
0.38692378997802734,63135,16351
0.39744067192077637,59936,59935
0.40709567070007324,59935,16351
0.4171640872955322,62176,62175
0.42756009101867676,62175,16351
0.4377884864807129,60896,60895
0.44821619987487793,60895,16351
0.45829153060913086,61664,61663
0.468764066696167,61663,16351
0.4792358875274658,60640,60639
0.48920702934265137,60639,16351
0.5001449584960938,62432,62431
0.5103325843811035,62431,16351
0.5203711986541748,61024,61023
0.5335142612457275,61023,16351
0.5487194061279297,64032,64031
0.5600855350494385,64031,16351
0.5704336166381836,60640,60639
0.5805251598358154,60639,16351
0.5910084247589111,62560,62559
0.600895881652832,62559,16351
0.6112937927246094,61536,61535
0.6209924221038818,61535,16351
0.6310403347015381,62688,62687
0.6411142349243164,62687,16351
0.6516563892364502,61472,61471
0.6619653701782227,61471,16351
0.6722593307495117,62304,62303
0.6824724674224854,62303,16351
0.6925115585327148,60448,60447
0.7028002738952637,60447,16351
0.7133629322052002,62496,62495
0.7288398742675781,62495,16351
0.7428531646728516,59936,59935
0.7530572414398193,59935,16351
0.7633514404296875,62368,62367
0.7734160423278809,62367,16351
0.7834794521331787,60896,60895
0.7935445308685303,60895,16351
0.8038647174835205,62560,62559
0.8139004707336426,62559,16351
0.8240060806274414,61472,61471
0.8340480327606201,61471,16351
0.8441298007965088,63200,63199
0.854522705078125,63199,16351
0.8645825386047363,60256,60255
0.8746025562286377,60255,16351
0.8847887516021729,63456,63455
